senators,stocks,buy/sell,date
John Hickenlooper,BATRK,sold,2022-11-14
John Hickenlooper,BATRK,bought,2022-11-14
John Hickenlooper,LBRDA,sold,2022-11-14
John Hickenlooper,LBRDA,bought,2022-11-14
John Hickenlooper,BATRA,sold,2022-11-14
John Hickenlooper,BATRA,bought,2022-11-14
John Hickenlooper,BATRK,sold,2022-11-14
John Hickenlooper,BATRK,bought,2022-11-14
Rick Scott,Bond,sold,2022-11-14
Rick Scott,Bond,sold,2022-11-14
Rick Scott,Bond,sold,2022-11-14
Rick Scott,Bond,bought,2022-11-14
Rick Scott,Bond,bought,2022-11-14
Rick Scott,Bond,bought,2022-11-14
Rick Scott,Bond,bought,2022-11-14
Rick Scott,Bond,bought,2022-11-14
Rick Scott,Bond,bought,2022-11-14
Rick Scott,Bond,bought,2022-11-14
Rick Scott,Bond,bought,2022-11-14
Rick Scott,Bond,bought,2022-11-14
Rick Scott,Bond,sold,2022-11-14
Rick Scott,Bond,sold,2022-11-14
Rick Scott,Bond,sold,2022-11-14
Rick Scott,Bond,sold,2022-11-14
Rick Scott,Bond,bought,2022-11-14
Rick Scott,Bond,bought,2022-11-14
Shelley Capito,UNH,sold,2022-11-14
Shelley Capito,JPM,sold,2022-11-14
Shelley Capito,MSFT,sold,2022-11-14
Shelley Capito,LOW,sold,2022-11-14
Shelley Capito,LIN,sold,2022-11-14
Shelley Capito,JNJ,sold,2022-11-14
Shelley Capito,BLK,sold,2022-11-14
Shelley Capito,AAPL,sold,2022-11-14
Shelley Capito,AFL,sold,2022-11-14
Shelley Capito,WFC,sold,2022-11-14
Shelley Capito,UNH,sold,2022-11-14
Shelley Capito,JPM,sold,2022-11-14
Shelley Capito,MSFT,sold,2022-11-14
Shelley Capito,LOW,sold,2022-11-14
Shelley Capito,LIN,sold,2022-11-14
Shelley Capito,JNJ,sold,2022-11-14
Shelley Capito,BLK,sold,2022-11-14
Shelley Capito,AAPL,sold,2022-11-14
Shelley Capito,AFL,sold,2022-11-14
Shelley Capito,WFC,sold,2022-11-14
Tommy Tuberville,MSFT,sold,2022-11-14
Tommy Tuberville,CLF,bought,2022-11-14
Tommy Tuberville,MSFT,sold,2022-11-14
Tommy Tuberville,MSFT,sold,2022-11-14
Tommy Tuberville,MSFT,bought,2022-11-14
Tommy Tuberville,NU,bought,2022-11-14
Tommy Tuberville,MSFT,bought,2022-11-14
Tommy Tuberville,NU,bought,2022-11-14
Tommy Tuberville,XOM,sold,2022-11-14
Tommy Tuberville,CVX,sold,2022-11-14
Tommy Tuberville,X,sold,2022-11-14
Tommy Tuberville,X,sold,2022-11-14
Tommy Tuberville,NU,bought,2022-11-14
Tommy Tuberville,VCTR,bought,2022-11-14
Tommy Tuberville,VCTR,bought,2022-11-14
Tommy Tuberville,VCTR,bought,2022-11-14
Tommy Tuberville,VRTX,bought,2022-11-14
Tommy Tuberville,TREX,bought,2022-11-14
Tommy Tuberville,SCI,bought,2022-11-14
Tommy Tuberville,RELX,bought,2022-11-14
Tommy Tuberville,RH,bought,2022-11-14
Tommy Tuberville,PHM,bought,2022-11-14
Tommy Tuberville,PAYC,bought,2022-11-14
Tommy Tuberville,GIS,bought,2022-11-14
Tommy Tuberville,GLPI,bought,2022-11-14
Tommy Tuberville,RACE,bought,2022-11-14
Tommy Tuberville,XOM,bought,2022-11-14
Tommy Tuberville,EXR,bought,2022-11-14
Tommy Tuberville,ETSY,bought,2022-11-14
Tommy Tuberville,ELS,bought,2022-11-14
