ticker_symbol,company_name,clean_companies,tickers_lower
A,Agilent Technologies Inc. Common Stock,agilenttechnologiesinccommonstock,a
AA,Alcoa Corporation Common Stock,alcoacorporationcommonstock,aa
AAC,Ares Acquisition Corporation Class A Ordinary Shares,aresacquisitioncorporationclassaordinaryshares,aac
AACG,ATA Creativity Global American Depositary Shares,atacreativityglobalamericandepositaryshares,aacg
AADI,Aadi Bioscience Inc. Common Stock,aadibioscienceinccommonstock,aadi
AAIC,Arlington Asset Investment Corp Class A (new),arlingtonassetinvestmentcorpclassanew,aaic
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,arlingtonassetinvestmentcorp6000seniornotesdue2026,aain
AAL,American Airlines Group Inc. Common Stock,americanairlinesgroupinccommonstock,aal
AAMC,Altisource Asset Management Corp Com,altisourceassetmanagementcorpcom,aamc
AAME,Atlantic American Corporation Common Stock,atlanticamericancorporationcommonstock,aame
AAN,Aarons Holdings Company Inc. Common Stock,aaronsholdingscompanyinccommonstock,aan
AAOI,Applied Optoelectronics Inc. Common Stock,appliedoptoelectronicsinccommonstock,aaoi
AAON,AAON Inc. Common Stock,aaoninccommonstock,aaon
AAP,Advance Auto Parts Inc.,advanceautopartsinc,aap
AAPL,Apple Inc. Common Stock,appleinccommonstock,aapl
AAQC,Accelerate Acquisition Corp. Class A Common Stock,accelerateacquisitioncorpclassacommonstock,aaqc
AAT,American Assets Trust Inc. Common Stock,americanassetstrustinccommonstock,aat
AATC,Autoscope Technologies Corporation Common Stock,autoscopetechnologiescorporationcommonstock,aatc
AAU,Almaden Minerals Ltd. Common Shares,almadenmineralsltdcommonshares,aau
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,atlasairworldwideholdingsnewcommonstock,aaww
AB,AllianceBernstein Holding L.P.  Units,alliancebernsteinholdinglpunits,ab
ABB,ABB Ltd Common Stock,abbltdcommonstock,abb
ABBV,AbbVie Inc. Common Stock,abbvieinccommonstock,abbv
ABC,AmerisourceBergen Corporation Common Stock,amerisourcebergencorporationcommonstock,abc
ABCB,Ameris Bancorp Common Stock,amerisbancorpcommonstock,abcb
ABCL,AbCellera Biologics Inc. Common Shares,abcellerabiologicsinccommonshares,abcl
ABCM,Abcam plc American Depositary Shares,abcamplcamericandepositaryshares,abcm
ABEO,Abeona Therapeutics Inc. Common Stock,abeonatherapeuticsinccommonstock,abeo
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),ambevsaamericandepositaryshareseachrepresenting1commonshare,abev
ABG,Asbury Automotive Group Inc Common Stock,asburyautomotivegroupinccommonstock,abg
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,abgacquisitioncorpiclassaordinaryshares,abgi
ABIO,ARCA biopharma Inc. Common Stock,arcabiopharmainccommonstock,abio
ABM,ABM Industries Incorporated Common Stock,abmindustriesincorporatedcommonstock,abm
ABMD,ABIOMED Inc. Common Stock,abiomedinccommonstock,abmd
ABNB,Airbnb Inc. Class A Common Stock,airbnbincclassacommonstock,abnb
ABOS,Acumen Pharmaceuticals Inc. Common Stock,acumenpharmaceuticalsinccommonstock,abos
ABR,Arbor Realty Trust Common Stock,arborrealtytrustcommonstock,abr
ABSI,Absci Corporation Common Stock,abscicorporationcommonstock,absi
ABST,Absolute Software Corporation Common Stock,absolutesoftwarecorporationcommonstock,abst
ABT,Abbott Laboratories Common Stock,abbottlaboratoriescommonstock,abt
ABTX,Allegiance Bancshares Inc. Common Stock,allegiancebancsharesinccommonstock,abtx
ABUS,Arbutus Biopharma Corporation Common Stock,arbutusbiopharmacorporationcommonstock,abus
ABVC,ABVC BioPharma Inc. Common Stock,abvcbiopharmainccommonstock,abvc
AC,Associated Capital Group Inc. Common Stock,associatedcapitalgroupinccommonstock,ac
ACA,Arcosa Inc. Common Stock,arcosainccommonstock,aca
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,atlanticcoastalacquisitioncorpiiclassacommonstock,acab
ACABW,Atlantic Coastal Acquisition Corp. II Warrant,atlanticcoastalacquisitioncorpiiwarrant,acabw
ACAC,Acri Capital Acquisition Corporation Class A Common Stock,acricapitalacquisitioncorporationclassacommonstock,acac
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,acadiapharmaceuticalsinccommonstock,acad
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,atlanticcoastalacquisitioncorpclassacommonstock,acah
ACAHU,Atlantic Coastal Acquisition Corp. Unit,atlanticcoastalacquisitioncorpunit,acahu
ACAHW,Atlantic Coastal Acquisition Corp. Warrant,atlanticcoastalacquisitioncorpwarrant,acahw
ACAQ,Athena Consumer Acquisition Corp. Class A Common Stock,athenaconsumeracquisitioncorpclassacommonstock,acaq
ACAX,Alset Capital Acquisition Corp. Class A Common Stock,alsetcapitalacquisitioncorpclassacommonstock,acax
ACAXW,Alset Capital Acquisition Corp. Warrant,alsetcapitalacquisitioncorpwarrant,acaxw
ACB,Aurora Cannabis Inc. Common Shares,auroracannabisinccommonshares,acb
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,aceglobalbusinessacquisitionlimitedordinaryshares,acba
ACCD,Accolade Inc. Common Stock,accoladeinccommonstock,accd
ACCO,Acco Brands Corporation Common Stock,accobrandscorporationcommonstock,acco
ACDI,Ascendant Digital Acquisition Corp. III Class A Ordinary Shares,ascendantdigitalacquisitioncorpiiiclassaordinaryshares,acdi
ACEL,Accel Entertainment Inc.,accelentertainmentinc,acel
ACER,Acer Therapeutics Inc. Common Stock (DE),acertherapeuticsinccommonstockde,acer
ACET,Adicet Bio Inc. Common Stock,adicetbioinccommonstock,acet
ACEV,ACE Convergence Acquisition Corp. Class A Ordinary Shares,aceconvergenceacquisitioncorpclassaordinaryshares,acev
ACEVU,ACE Convergence Acquisition Corp. Unit,aceconvergenceacquisitioncorpunit,acevu
ACEVW,ACE Convergence Acquisition Corp. Warrant,aceconvergenceacquisitioncorpwarrant,acevw
ACGL,Arch Capital Group Ltd. Common Stock,archcapitalgroupltdcommonstock,acgl
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,archcapitalgroupltddepositaryshareseachrepresentinga11000thinterestina4550noncumulativepreferredshareseriesg,acgln
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,archcapitalgroupltddepositaryshareseachrepresenting11000thinterestinashareof545noncumulativepreferredsharesseriesf,acglo
ACH,Aluminum Corporation of China Limited American Depositary Shares,aluminumcorporationofchinalimitedamericandepositaryshares,ach
ACHC,Acadia Healthcare Company Inc. Common Stock,acadiahealthcarecompanyinccommonstock,achc
ACHL,Achilles Therapeutics plc American Depositary Shares,achillestherapeuticsplcamericandepositaryshares,achl
ACHR,Archer Aviation Inc. Class A Common Stock,archeraviationincclassacommonstock,achr
ACHV,Achieve Life Sciences Inc. Common Shares,achievelifesciencesinccommonshares,achv
ACI,Albertsons Companies Inc. Class A Common Stock,albertsonscompaniesincclassacommonstock,aci
